Rank,University,Town
1,"Vietnam National University, Hanoi",Hanoi
2,The University of Da nang,Da Nang 
3,Ho Chi Minh City University of Technology,Ho Chi Minh City
4,Hanoi University of Science and Technology,Hanoi
5,Can Tho University,Can Tho 
6,University of Economics Ho Chi Minh City,Ho Chi Minh City
7,National Economics University,Hanoi
8,Foreign Trade University,Hanoi 
9,Nguyen Tat Thanh University,Ho Chi Minh City
10,HUTECH University,Ho Chi Minh City
11,Ho Chi Minh City University of Technology and Education,Ho Chi Minh City
12,Duy Tan University,Da Nang
13,VNUHCM - University of Science,Ho Chi Minh City
14,Thuyloi University,Hanoi
15,The University of Medicine and Pharmacy at Ho Chi Minh City,Ho Chi Minh City
16,Ho Chi Minh City University of Information Technology,Ho Chi Minh City
17,Hanoi National University of Education,Hanoi
18,Hanoi University,Hanoi
19,Ho Chi Minh City University of Social Sciences and Humanities,Ho Chi Minh City
20,Ho Chi Minh City University of Agriculture and Forestry,Ho Chi Minh City
21,Hanoi Medical University,Hanoi
22,Hanoi University of Industry,Hanoi 
23,Ho Chi Minh City University of Education,Ho Chi Minh City
24,Vietnam National University of Agriculture,Hanoi
25,Ho Chi Minh City International University,Ho Chi Minh City
26,"Vietnam National University, Ho Chi Minh City",Ho Chi Minh City
27,Hanoi University of Civil Engineering,Hanoi
28,Van Lang University,Ho Chi Minh City
29,University of Economics and Law,Ho Chi Minh City
30,Ho Chi Minh City University of Foreign Languages and Information Technology,Ho Chi Minh City
31,Hue University,Hue 
32,Hoa Sen University,Ho Chi Minh City
33,Dalat University,Dalat
34,Thuongmai University,Hanoi
35,Ho Chi Minh City University of Transport,Ho Chi Minh City
36,Saigon University,Ho Chi Minh City
37,University of Transport and Communications,Hanoi 
38,Nha Trang University,Nha Trang
39,Thai Nguyen University,Thai Nguyen 
40,Hanoi University of Mining and Geology,Hanoi
41,Hanoi Law University,Hanoi
42,Ho Chi Minh City University of Law,Ho Chi Minh City
43,Lac Hong University,Bien Hoa
44,Ho Chi Minh City University of Food Industry,Ho Chi Minh City
45,Vinh University,Vinh
46,Hong Bang International University,Ho Chi Minh City
47,Baria Vungtau University,Vung Tau
48,Vietnam Maritime University,Hai Phong
49,Hai Phong Medical University,Hai Phong
50,Eastern University of Technology,Xuan Thanh
51,Hanoi Architectural University,Hanoi
52,Ho Chi Minh City University of Architecture,Ho Chi Minh City
53,Dong Nai University of Technology,Bien Hoa
54,Hanoi University of Pharmacy,Hanoi
55,Hong Duc University,Thanh Hóa
56,FPT University,Hanoi 
57,Quy Nhon University,Quy Nhon
58,Thai Binh University of Medicine and Pharmacy,Thái Bình
59,VNU University of Science,Hanoi
60,University of Economics - Technology for Industries,Hanoi 
61,Hanoi University of Culture,Hanoi
62,Tay Bac University,Son La
63,Hanoi University of Business and Technology,Hanoi
64,Hanoi Industrial Textile Garment University,Hanoi
65,Saigon International University,Ho Chi Minh City
66,Hung Vuong University,Viet Tri 
67,Mientrung University of Civil Engineering,Tuy Hoa 
68,Phuong Dong University,Hanoi
69,Vo Truong Toan University,Tan Phu Thanh
70,University of Technology & Management,Hanoi
71,Dong Do International University,Hanoi
72,Bac Lieu University,Bac Lieu
73,Hanoi University of Industrial Fine Arts,Hanoi
74,University of Hai Duong,Hai Duong
